start,end,today,intro_002,intro_001,region,name,gender,age,Email,mobile,partner_name,csa,csa/registering_to_vote,csa/voting,csa/community_level_organizing,csa/social_media_advocacy,csa/meetings_with_governments_to_advocate_fo,csa/other_advocacy_initiatives_as_organized_,csa_other,engagement,friends_people,new_org,global_mov,fundraise,other_changes,specifics,thank,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2024-10-03,2024-10-03,2024-10-02,,,LALALAND,LALALA4,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
2024-10-04,2024-10-04,2024-10-03,,,LALALAND,LALALA5,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2024-10-05,2024-10-05,2024-10-04,,,LALALAND,LALALA6,,,,,,,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
2024-10-06,2024-10-06,2024-10-05,,,LALALAND,LALALA,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2024-10-07,2024-10-07,2024-10-06,,,LALALAND,LALALA5,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2024-10-08,2024-10-08,2024-10-07,,,LALALAND,LALALA6,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
2024-10-09,2024-10-09,2024-10-08,,,LALALAND,LALALA7,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
2024-10-10,2024-10-10,2024-10-09,,,LALALAND,LALALA,,,,,,,1.0,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2024-10-11,2024-10-11,2024-10-10,,,LALALAND,LALALA6,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2024-10-12,2024-10-12,2024-10-11,,,LALALAND,LALALA7,,,,,,,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2024-10-13,2024-10-13,2024-10-12,,,LALALAND,LALALA8,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2024-10-14,2024-10-14,2024-10-13,,,LALALAND,LALALA,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
2024-10-15,2024-10-15,2024-10-14,,,LALALAND,LALALA7,,,,,,,0.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2024-10-16,2024-10-16,2024-10-15,,,LALALAND,LALALA8,,,,,,,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2024-10-17,2024-10-17,2024-10-16,,,LALALAND,LALALA9,,,,,,,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2024-10-18,2024-10-18,2024-10-17,,,LALALAND,LALALA,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
2024-10-19,2024-10-19,2024-10-18,,,LALALAND,LALALA,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2024-10-20,2024-10-20,2024-10-19,,,LALALAND,LALALA3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2024-10-21,2024-10-21,2024-10-20,,,LALALAND,LALALA4,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2024-10-22,2024-10-22,2024-10-21,,,LALALAND,LALALA5,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,CSATRAINNING,,,,,,,,,,,,,,,,,,
2024-10-23,2024-10-23,2024-10-22,,,LALALAND,LALALA,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,CSA TRAINNING,,,,,,,,,,,,,,,,,,
2024-10-24,2024-10-24,2024-10-23,,,LALALAND,LALALA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
