start,end,today,intro_002,region,name,gender,age,Email,mobile,soft_skills_header,public_speech,text,decisions,guiding_new_activi,work_effective,disagreement,emotions,feelings,motivation,prioritytask,c2_header,what_is,impact,globaldecision,strategy,c2header1,digital,gov,cop,data,c3_note,k_climatechange,deforest,k_justice,life_affect,life_affect/water,life_affect/livingcost,life_affect/menstruation,life_affect/health,life_affect/school,life_affect/agriculture,life_affect/conflict,life_affect/dont_feel,k_adaptation,k_adaptation/a,k_adaptation/b,k_adaptation/c,k_adaptation/d,k_adaptation/e,k_adaptation/f,k_adaptation/g,unequal_impact,unequal_impact/a,unequal_impact/b,unequal_impact/c,unequal_impact/d,unequal_impact/e,unequal_impact/f,c4green_header,NBS,ESG,AGROEC,RECYCLE,ECOTOUR,HANDCRAFT,c4green_header_001,challenge,gaps,community,ancestral,header_ch,land,finance,edu,socialnorm,genderrole,markets,infra,knowledge,climateshock,What_are_the_most_im_ies_you_have_learned,What_aspects_of_the_t_beneficial_for_you,What_improvements_wo_re_training_sessions,thank,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
2024-09-08,2024-09-08,2024-09-07,,napak,AAA10,,24,,9000000009,,1,-1,0,1,2,1,-2,-2,1,-2,2,1,0,-2,1,-2,2,1,0,1,0,1,-1,2,1,2,2,-2,2,1,,,,,,,,,,,,,,,,,,,,-2,1,-2,2,-1,-1,-1,2,-1,0,1,-2,1,0,1,2,2,-1,1,1,1,2,1,-1,2,0,0,-1,,,,,,,
2024-09-09,2024-09-09,2024-09-08,,napak,AAA11,,18,,9000000010,,2,2,-1,1,2,-2,-1,1,1,0,0,-2,2,1,-1,0,-2,-1,2,-1,1,1,2,-2,-2,2,-2,0,2,-2,,,,,,,,,,,,,,,,,,,,0,-2,2,0,2,0,0,0,2,0,-2,1,2,1,-2,-2,-1,2,1,1,-2,0,-1,1,1,2,1,-2,,,,,,,
2024-09-10,2024-09-10,2024-09-09,,napak,AAA12,,13,,9000000011,,0,1,-2,0,1,0,-1,-2,-2,2,-2,1,-2,0,-1,0,-2,1,1,2,0,-2,-1,1,-2,0,-1,-1,-2,2,,,,,,,,,,,,,,,,,,,,2,1,-1,-2,1,1,-2,1,-2,0,-1,2,2,-2,0,2,-1,0,2,2,1,-2,2,0,0,-2,1,2,,,,,,,
2024-09-11,2024-09-11,2024-09-10,,napak,AAA13,,14,,9000000012,,-2,-1,0,0,-1,2,1,-1,1,-1,1,1,-2,1,-2,-1,-2,0,0,1,1,-1,-2,2,-2,0,-2,1,-1,-1,,,,,,,,,,,,,,,,,,,,1,2,-1,2,1,-1,-2,-2,-1,0,2,-1,2,0,2,-2,-1,0,-1,1,2,0,2,0,1,-1,0,1,,,,,,,
2024-09-12,2024-09-12,2024-09-11,,napak,AAA14,,18,,9000000013,,-1,0,0,1,2,2,0,-1,0,-1,-2,2,1,0,1,1,0,0,1,-1,-2,0,2,1,1,-1,1,2,1,0,,,,,,,,,,,,,,,,,,,,-1,0,1,-2,-1,-2,-1,-2,1,-1,1,0,-1,2,1,0,2,-2,0,-1,-2,-1,2,1,1,1,-1,-2,,,,,,,
2024-09-13,2024-09-13,2024-09-12,,napak,AAA15,,20,,9000000014,,0,-1,-1,2,1,2,0,0,2,1,-2,-1,-2,-2,-1,-2,-2,-1,-1,0,-1,-2,-1,-2,-2,2,0,0,2,-1,,,,,,,,,,,,,,,,,,,,-1,-2,-1,0,2,0,1,1,0,2,-1,2,2,-1,0,2,0,-2,-2,-1,2,1,2,0,2,2,2,0,,,,,,,
2024-09-14,2024-09-14,2024-09-13,,napak,AAA16,,16,,9000000015,,0,2,-2,1,-1,-2,1,0,0,2,0,-2,-2,0,0,-1,2,-1,-1,2,2,-2,0,2,2,-1,2,1,0,1,,,,,,,,,,,,,,,,,,,,1,-2,-1,2,0,1,2,1,-1,0,-1,2,2,-2,-2,-1,0,2,1,2,0,-2,-2,1,1,2,-1,-1,,,,,,,
2024-09-15,2024-09-15,2024-09-14,,napak,AAA17,,22,,9000000016,,-1,-1,-2,-1,-2,2,0,1,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-1,2,1,0,0,2,-1,2,1,-1,0,,,,,,,,,,,,,,,,,,,,-1,0,-1,2,2,2,1,0,2,-2,0,-1,0,0,1,1,2,0,1,-2,2,-1,1,-2,0,1,1,2,,,,,,,
2024-09-16,2024-09-16,2024-09-15,,napak,AAA18,,18,,9000000017,,-1,2,2,0,-1,2,0,-1,2,1,0,1,1,-2,0,-2,2,-2,2,1,0,2,1,-1,2,2,0,-2,1,-1,,,,,,,,,,,,,,,,,,,,-2,2,2,-2,0,2,2,0,1,2,1,-2,2,1,0,0,-1,-1,0,1,-2,1,0,-2,0,0,0,1,,,,,,,
2024-09-17,2024-09-17,2024-09-16,,napak,AAA19,,23,,9000000018,,2,-2,-2,2,2,0,1,-1,-1,-1,-1,2,0,-2,-1,-1,-1,1,1,-2,-1,2,1,1,0,1,0,0,1,2,,,,,,,,,,,,,,,,,,,,0,1,-1,1,0,1,-1,0,2,-1,-1,0,-1,1,0,2,2,0,0,2,-1,1,-1,-2,-1,0,2,1,,,,,,,
2024-09-18,2024-09-18,2024-09-17,,napak,AAA20,,24,,9000000019,,-1,2,-2,2,0,1,-1,-1,-1,-2,-1,2,-1,1,-2,0,0,0,-2,2,-1,-1,-2,-1,-1,1,-2,0,2,0,,,,,,,,,,,,,,,,,,,,2,-2,2,-2,2,-1,0,1,-1,0,0,2,0,0,-2,-1,0,0,2,-2,0,0,0,2,-2,-1,-2,2,,,,,,,
2024-09-19,2024-09-19,2024-09-18,,napak,AAA21,,14,,9000000020,,1,-1,2,-2,-1,1,1,-1,-1,2,-1,2,2,-2,1,2,1,2,1,-1,2,-2,-2,2,-2,-1,0,-2,-1,0,,,,,,,,,,,,,,,,,,,,-1,2,2,-1,1,-2,2,-1,2,0,-2,0,-1,-1,1,-1,-1,0,-2,2,1,2,0,0,1,-2,1,2,,,,,,,
2024-09-20,2024-09-20,2024-09-19,,napak,AAA22,,24,,9000000021,,1,-1,2,-1,-1,0,0,0,-2,-1,-1,-2,0,-2,0,-1,2,-1,2,-2,0,-1,1,1,0,0,0,0,-2,2,,,,,,,,,,,,,,,,,,,,1,-1,1,1,0,1,0,0,2,-2,-2,-1,1,-1,2,0,1,2,-2,2,0,-1,0,1,2,1,-1,-2,,,,,,,
2024-09-21,2024-09-21,2024-09-20,,napak,AAA23,,16,,9000000022,,0,2,-1,-2,2,0,-1,1,-2,2,0,-2,-2,0,0,-2,0,-1,-1,-1,-2,-1,0,2,1,-1,-1,0,0,0,,,,,,,,,,,,,,,,,,,,-1,1,-1,2,2,2,2,-1,1,0,1,0,-2,-2,0,1,1,-1,0,2,0,0,-2,-1,-2,0,-1,-2,,,,,,,
2024-09-22,2024-09-22,2024-09-21,,napak,AAA24,,12,,9000000023,,0,0,-1,-2,0,1,-2,2,0,-2,-2,1,-2,1,-2,-2,-2,2,1,-2,0,0,2,-2,2,2,2,0,-2,2,,,,,,,,,,,,,,,,,,,,2,0,0,1,2,-1,-2,0,0,-2,1,-1,0,2,2,-1,1,0,-2,-1,1,-1,-1,-2,-1,-1,1,-2,,,,,,,
2024-09-23,2024-09-23,2024-09-22,,napak,AAA25,,15,,9000000024,,2,-2,-1,1,-2,-1,2,-1,-1,1,-2,2,-2,-2,0,-2,-1,1,0,0,0,2,2,-1,1,-2,1,-1,-2,-2,,,,,,,,,,,,,,,,,,,,0,0,2,1,0,2,0,0,2,2,0,-2,0,0,1,0,1,2,0,-1,-1,-2,2,-1,2,1,0,0,,,,,,,
2024-09-24,2024-09-24,2024-09-23,,napak,AAA26,,22,,9000000025,,-1,2,1,0,1,2,0,-2,-2,2,1,-2,-2,0,0,0,-1,2,1,2,-1,-2,-2,0,-1,-1,-2,2,1,0,,,,,,,,,,,,,,,,,,,,0,2,-2,1,-2,2,-1,0,-2,-2,0,1,-1,-2,-1,-1,-1,2,2,-1,2,2,0,0,2,-2,-2,0,,,,,,,
2024-09-25,2024-09-25,2024-09-24,,napak,AAA27,,20,,9000000026,,2,1,-1,-1,1,2,2,-1,0,2,-2,0,-1,1,-2,-1,0,-2,-1,-2,2,-2,-2,-2,1,-1,-1,1,2,1,,,,,,,,,,,,,,,,,,,,-1,2,2,1,-2,2,-1,2,-2,1,-2,-1,2,0,1,0,-2,2,-2,2,2,-2,2,2,2,-1,2,1,,,,,,,
2024-09-26,2024-09-26,2024-09-25,,napak,AAA28,,21,,9000000027,,0,0,0,1,0,0,1,2,-1,0,0,0,-2,0,2,-1,-2,2,-1,1,-2,2,2,2,0,1,-1,0,1,-1,,,,,,,,,,,,,,,,,,,,2,2,0,0,2,2,-2,0,0,-1,-1,-1,2,0,-2,1,2,1,1,-1,-2,2,-1,2,0,0,0,2,,,,,,,
2024-09-27,2024-09-27,2024-09-26,,napak,AAA29,,24,,9000000028,,-2,-2,0,0,1,-2,-1,2,-1,-1,-1,2,2,-2,1,-1,0,1,0,0,-2,1,-2,2,1,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,1,-1,-2,2,2,-1,1,0,1,2,2,2,2,2,0,2,2,2,0,-1,-2,-2,-1,2,-2,-2,1,2,,,,,,,
2024-09-28,2024-09-28,2024-09-27,,napak,AAA30,,13,,9000000029,,-1,-1,2,1,-2,0,-1,-2,0,-1,-1,1,2,-1,2,0,2,-1,1,2,-1,1,-2,-2,1,-1,-1,0,2,0,,,,,,,,,,,,,,,,,,,,0,-1,-1,0,1,-2,-1,-2,-1,2,2,0,-2,2,0,-1,1,-1,-1,-1,0,2,2,0,1,-2,-2,-1,,,,,,,
2024-09-29,2024-09-29,2024-09-28,,alpha,AAA31,,19,,9000000030,,0,1,1,-2,-2,1,-1,2,2,-2,-1,-1,2,-1,-1,2,-2,0,1,-2,2,-2,1,2,-2,-2,-1,1,2,1,,,,,,,,,,,,,,,,,,,,2,-2,2,0,-2,-2,-1,2,2,-2,0,1,0,-1,0,-1,-1,-1,1,2,2,-2,-2,-1,1,-2,-2,2,,,,,,,
2024-09-30,2024-09-30,2024-09-29,,alpha,AAA32,,13,,9000000031,,2,-1,2,0,1,-2,-1,1,-2,2,1,-2,-2,2,0,-1,-2,0,-2,1,-1,1,-1,1,0,-1,-1,0,-1,-2,,,,,,,,,,,,,,,,,,,,2,1,0,-1,1,2,-1,-2,0,2,-1,1,-1,1,0,1,0,1,-1,1,1,2,-1,1,0,0,-2,-2,,,,,,,
2024-10-01,2024-10-01,2024-09-30,,alpha,AAA33,,13,,9000000032,,-1,-2,1,2,-1,-1,-1,-2,-2,-2,-1,-2,2,1,2,-2,-2,-1,1,-2,1,-2,2,-1,2,-2,-1,-2,1,1,,,,,,,,,,,,,,,,,,,,0,1,0,1,-2,1,-2,2,-2,-1,-1,1,2,2,-2,2,-2,2,2,1,0,1,1,1,1,-2,0,0,,,,,,,
2024-10-02,2024-10-02,2024-10-01,,alpha,AAA34,,15,,9000000033,,-1,1,2,-1,1,1,1,-2,1,0,-2,1,1,-2,-2,2,2,1,1,-2,0,-1,0,-1,2,1,2,-1,-1,0,,,,,,,,,,,,,,,,,,,,0,1,2,-1,0,0,1,-2,1,2,0,0,0,-1,2,-2,-2,-1,-1,2,-2,-2,2,2,1,-1,0,-1,,,,,,,
2024-10-03,2024-10-03,2024-10-02,,alpha,AAA35,,18,,9000000034,,-2,0,0,2,-2,2,-1,1,1,0,2,1,-1,0,1,-1,0,2,0,-1,-1,2,2,-2,2,-1,-1,1,2,-2,,,,,,,,,,,,,,,,,,,,2,-2,2,-1,0,2,-1,-2,1,-2,1,-1,-1,2,0,1,-1,2,0,0,-2,1,2,0,-1,0,1,1,,,,,,,
2024-10-04,2024-10-04,2024-10-03,,alpha,AAA36,,22,,9000000035,,2,-2,1,1,-1,1,2,1,2,0,1,-2,1,2,2,-2,-1,0,-2,2,0,-1,-1,2,-2,2,1,-2,0,0,,,,,,,,,,,,,,,,,,,,1,-2,-1,-2,0,0,-2,-1,-2,2,-1,-1,1,1,2,2,0,-2,0,-2,2,-1,-1,-2,2,2,0,0,,,,,,,
2024-10-05,2024-10-05,2024-10-04,,alpha,AAA37,,18,,9000000036,,0,2,-1,-1,1,-1,2,2,0,2,-2,0,-2,2,-1,2,-1,0,-2,-2,-1,-1,1,-2,0,2,1,-1,2,0,,,,,,,,,,,,,,,,,,,,0,0,-1,1,-1,1,2,0,1,1,2,0,2,0,-1,-2,2,-1,0,0,0,-1,-2,-2,1,2,-2,1,,,,,,,
2024-10-06,2024-10-06,2024-10-05,,alpha,AAA38,,23,,9000000037,,0,-2,1,0,0,2,1,0,-2,0,-1,0,2,2,-2,-1,-2,2,0,-2,-2,-2,0,-1,-1,2,2,1,-1,-2,,,,,,,,,,,,,,,,,,,,1,0,-1,0,-1,-1,-1,1,2,-1,0,0,1,-1,-1,-2,0,-1,2,-1,-2,2,1,1,-2,0,1,-2,,,,,,,
2024-10-07,2024-10-07,2024-10-06,,alpha,AAA39,,21,,9000000038,,0,-1,0,1,0,2,1,1,1,2,1,-1,-1,0,2,-1,0,1,1,-1,1,2,2,0,-2,-2,0,-1,-2,-1,,,,,,,,,,,,,,,,,,,,2,-2,-1,2,2,-2,1,-1,-1,-1,2,-2,0,1,1,-2,2,1,0,-1,0,-1,1,0,-1,1,-2,2,,,,,,,
2024-10-08,2024-10-08,2024-10-07,,alpha,AAA40,,18,,9000000039,,-1,1,1,-1,-1,0,-2,-2,2,1,2,1,-2,-1,-2,1,-2,0,-1,-2,-2,0,0,2,-1,-1,1,-2,2,0,,,,,,,,,,,,,,,,,,,,-2,0,1,-1,0,-2,2,0,2,1,1,1,0,0,-2,-2,-1,0,2,-1,1,-2,2,2,2,-1,1,-1,,,,,,,
2024-10-09,2024-10-09,2024-10-08,,alpha,AAA41,,15,,9000000040,,-1,-1,-1,0,1,0,2,2,0,-1,1,1,0,2,1,-1,1,1,0,0,0,1,2,-2,2,1,0,1,2,-2,,,,,,,,,,,,,,,,,,,,2,1,-2,1,0,0,0,1,1,2,-2,1,1,-2,-1,-2,-2,2,-1,2,-2,1,0,1,-2,1,1,0,,,,,,,
2024-10-10,2024-10-10,2024-10-09,,beta,AAA42,,18,,9000000041,,-1,0,-2,-2,2,2,2,-2,0,-1,2,0,2,-1,2,0,1,0,-1,-2,-2,-2,2,-2,1,1,2,1,2,2,,,,,,,,,,,,,,,,,,,,2,-1,2,-1,1,0,0,-2,-2,1,0,0,0,-2,-1,-2,-2,2,0,-2,-1,-1,0,-2,2,0,-2,2,,,,,,,
2024-10-11,2024-10-11,2024-10-10,,beta,AAA43,,20,,9000000042,,0,2,-1,1,0,-2,-2,-1,2,1,0,0,1,0,2,0,2,1,2,0,1,2,2,0,0,-2,2,1,-1,1,,,,,,,,,,,,,,,,,,,,0,-2,-2,2,-2,1,0,0,2,2,1,-1,-1,-2,0,-1,-1,1,1,-2,1,-2,2,2,0,1,1,-2,,,,,,,
2024-10-12,2024-10-12,2024-10-11,,beta,AAA44,,20,,9000000043,,-2,0,0,-1,-1,2,-1,0,1,-1,0,0,0,-1,1,1,-1,0,-2,1,-2,-1,-2,-1,-2,-2,-1,1,1,1,,,,,,,,,,,,,,,,,,,,0,0,-1,1,-2,-1,-1,1,2,0,2,-1,-1,1,1,0,-1,-1,-2,-1,0,0,-1,-1,1,1,-2,0,,,,,,,
2024-10-13,2024-10-13,2024-10-12,,beta,AAA45,,15,,9000000044,,2,-2,1,-2,0,2,2,-2,0,0,-2,-2,-1,-2,0,-1,2,-1,0,0,0,2,0,-2,1,-1,0,0,-2,-1,,,,,,,,,,,,,,,,,,,,-1,-2,1,2,-2,-1,0,0,1,-2,-1,-2,-1,1,0,-2,-1,2,0,2,-1,-2,-2,1,0,-2,2,1,,,,,,,
2024-10-14,2024-10-14,2024-10-13,,beta,AAA46,,23,,9000000045,,1,2,0,-1,1,1,0,2,-1,1,-1,1,-2,0,-1,1,0,-2,-1,1,-2,2,-2,-2,-2,-1,1,0,0,-1,,,,,,,,,,,,,,,,,,,,-2,-1,-2,1,0,1,0,-2,1,-1,0,1,1,0,-1,-1,-1,-1,-1,1,-1,2,2,2,-1,2,2,1,,,,,,,
2024-10-15,2024-10-15,2024-10-14,,beta,AAA47,,21,,9000000046,,-1,0,-1,-2,2,-1,-1,1,0,-1,0,0,0,1,0,0,0,1,-1,-2,-1,-1,-1,1,2,-2,0,1,-1,0,,,,,,,,,,,,,,,,,,,,1,-1,2,2,-2,1,2,-2,-2,1,1,2,-2,-2,0,-1,-1,-1,-1,2,-1,-2,-2,0,0,1,-1,0,,,,,,,
2024-10-16,2024-10-16,2024-10-15,,beta,AAA48,,16,,9000000047,,0,-2,2,0,-1,-1,-1,-2,-1,-1,-2,-1,-1,1,0,0,0,1,2,-1,0,-2,2,-1,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,-2,1,2,0,2,2,0,2,1,2,-2,1,-2,2,-2,-1,2,0,-1,1,1,-2,2,2,-1,-1,-1,1,,,,,,,
2024-10-17,2024-10-17,2024-10-16,,beta,AAA49,,24,,9000000048,,0,0,1,-2,-1,-1,1,-2,-1,-2,2,1,-2,-2,-2,-2,1,2,-1,1,-1,2,0,2,-2,0,-2,-2,-1,-2,,,,,,,,,,,,,,,,,,,,-2,-2,-1,0,-1,-1,1,1,2,-1,2,2,-2,2,0,-1,-1,-2,-1,-1,2,1,0,0,2,0,-1,1,,,,,,,
2024-10-18,2024-10-18,2024-10-17,,beta,AAA50,,12,,9000000049,,-1,0,2,-2,0,-2,-1,2,-1,-2,1,0,0,1,2,-1,1,0,1,-1,-1,-2,-1,0,0,2,1,0,2,0,,,,,,,,,,,,,,,,,,,,-2,1,1,1,-2,-1,0,-1,-2,2,0,1,-2,-1,-2,1,1,1,0,-1,1,2,-2,-1,2,2,0,0,,,,,,,
2024-10-19,2024-10-19,2024-10-18,,beta,AAA51,,20,,9000000050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
